2473291, -1.32, 0.46, 0.73, -154.76, -39.88, 9.15, 29.11, 40.81, 8.25
2473301, -1.20, 0.55, 0.85, -151.40, -30.30, 34.39, 32.26, 41.26, 7.65
2473310, -1.08, 0.37, 0.90, -147.38, -20.55, 50.24, 34.96, 42.46, 7.50
2473320, -0.98, 0.31, 0.95, -139.45, -8.84, 35.55, 38.86, 40.06, 5.10
2473329, -0.85, 0.33, 1.07, -144.02, 5.30, -13.23, 40.81, 40.66, 5.70
2473338, -0.81, 0.59, 0.75, -153.72, -1.95, -61.83, 42.91, 40.96, 3.30
2473348, -0.74, 0.60, 0.78, -160.85, -5.24, -84.94, 43.06, 40.51, 2.40
2473357, -1.35, 0.72, 1.44, -147.13, -13.29, -123.60, 43.96, 38.56, 1.50
2473367, -0.95, 0.90, 0.69, -161.46, -47.20, -107.80, 44.71, 40.66, 0.45
2473376, -1.30, 1.09, 0.09, -99.70, -43.60, -120.18, 45.16, 42.16, 1.20
2473411, -1.27, 0.66, 1.32, -35.67, -59.02, -69.45, 42.61, 42.16, 1.20
2473421, -1.24, 0.61, 0.95, -32.74, -70.79, -46.89, 41.71, 42.61, 0.60
2473430, -1.53, 0.57, 0.80, 10.85, -55.00, -30.55, 42.16, 42.16, 1.80
2473440, -1.86, 0.56, 0.85, 22.44, -46.40, -28.72, 40.06, 40.96, 1.50
2473449, -2.00, 0.43, 0.85, 31.52, -25.00, -35.37, 40.66, 40.81, 2.40
2473458, -2.00, 0.42, 0.83, 39.45, 10.37, -55.91, 40.81, 40.66, 1.80
2473468, -2.00, 0.22, 0.78, 42.99, 51.71, -97.01, 39.01, 42.91, 2.25
2473477, -1.94, 0.02, 0.87, 39.27, 91.28, -145.91, 37.51, 43.21, 3.30
2473487, -1.38, 0.18, 0.38, 33.17, 112.74, -184.76, 38.41, 42.61, 3.75
2473496, -1.19, -0.09, 0.50, 30.55, 145.73, -233.41, 37.06, 43.81, 1.35
2473505, -1.10, -0.51, 0.19, 9.82, 137.07, -276.22, 36.31, 44.11, 2.40
2473515, -0.39, 0.18, 0.08, -10.79, 163.96, -415.67, 36.31, 44.11, 2.40
2473524, -0.52, 0.09, -0.11, -30.67, 175.73, -461.65, 36.46, 43.96, 2.85
2473534, -0.58, 0.12, 0.02, -41.77, 175.37, -438.11, 34.36, 43.21, 2.55
2473569, -0.49, -0.01, -0.06, -49.15, 174.94, -410.79, 34.66, 43.21, 2.85
2473579, -0.72, -0.13, 0.06, -39.02, 193.05, -377.26, 34.81, 43.81, 3.00
2473588, -0.85, -0.05, 0.01, -52.44, 175.12, -336.16, 35.71, 43.96, 2.85
